code_discription,address_raw,data_short,cost
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",12-2022,658408.1884214281
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,02-2022,38759.05763347286
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,03-2022,68039.04690925393
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,04-2022,71926.53024567719
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,05-2022,75472.41938330876
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,06-2022,60363.27618850895
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,07-2022,60363.27618850895
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,08-2022,52487.83515510689
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,09-2022,81007.70664820523
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,10-2022,84959.06174654761
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,11-2022,75413.18366650611
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц находка,12-2022,71319.40401513163
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,02-2022,82484.21122789686
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,03-2022,84982.70412182542
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,04-2022,85610.72257730158
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,05-2022,63717.76912718214
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,06-2022,58933.06058967469
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,07-2022,105186.0259700396
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,08-2022,114889.1917432864
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,09-2022,57164.37276055557
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,10-2022,55123.25962507938
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,11-2022,60441.31667650492
Электроэнергия,134.1000.01 дгу. оплата за электроэнергию по тарифам ркц уссурийск,12-2022,90643.26732218257
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",02-2022,8241.260802777775
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",03-2022,8241.260802777775
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",04-2022,8097.120836111108
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",05-2022,7930.69153253968
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",06-2022,7686.670436111108
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",07-2022,7655.889556111108
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",08-2022,7528.876041111107
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",09-2022,7625.338763492061
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",10-2022,8169.931196825396
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",11-2022,15622.69650825398
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.вл-александровское, ул.седова, 32",12-2022,15285.59597492064
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",02-2022,13426.84322230159
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",03-2022,169513.410349697
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",04-2022,175744.5586280304
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",05-2022,17245.78471063492
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",06-2022,13499.21597753968
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",07-2022,14180.39667634921
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",08-2022,28196.6629640873
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",09-2022,28312.83044761905
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",10-2022,27241.30697261905
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",11-2022,42234.77401309522
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам с.в-надеждинское, ул.пушкина, 59",12-2022,54972.94706968073
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",02-2022,30161.79734861111
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",03-2022,29981.83352361112
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",04-2022,28472.81950416668
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",05-2022,26853.77195416668
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",06-2022,31886.58661845239
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",07-2022,26302.94599123015
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",08-2022,30069.69133089828
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",09-2022,37219.18201280303
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",10-2022,30902.32204335858
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",11-2022,74593.00297458332
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.калинина, 261",12-2022,55378.74543083154
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",02-2022,298019.16209
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",03-2022,269879.0546766667
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",04-2022,269048.1351433333
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",05-2022,275756.4544516667
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",06-2022,268536.5546600001
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",07-2022,261413.2010866667
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",08-2022,275652.7874933334
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",09-2022,292759.0408533333
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",10-2022,278332.6862716666
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",11-2022,517166.8415666665
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская, 71",12-2022,465292.3490199998
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,69",03-2022,40305.07655605923
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,69",05-2022,37410.27182772588
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,69",06-2022,37149.51291439257
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,69",07-2022,35828.5988597619
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,69",08-2022,35828.5988597619
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,69",09-2022,32628.95637166665
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,69",10-2022,32628.95637166665
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,69",12-2022,74925.9334547457
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",02-2022,96860.46499128202
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",03-2022,97263.84814128201
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",04-2022,99274.03558294872
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",05-2022,102444.5237162821
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",06-2022,107046.404475
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",07-2022,109165.264875
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",08-2022,106974.2930516667
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",09-2022,106487.211585
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",10-2022,105440.0097716667
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",11-2022,177608.8647538096
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,71 пристройка",12-2022,172525.1694138096
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",02-2022,47006.26663407355
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",03-2022,106175.3068516666
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",04-2022,34800.01566919261
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",05-2022,22831.86790119048
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",06-2022,17238.43706166667
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",07-2022,20259.70364333334
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",08-2022,11182.22145952381
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",09-2022,12277.76085238095
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",10-2022,12646.82999261905
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",11-2022,90441.70113428574
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73",12-2022,89650.09623428572
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",02-2022,22952.53115978021
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",03-2022,23230.27642285715
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",04-2022,17204.29355499999
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",05-2022,18319.33782
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",06-2022,17423.43844333334
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",07-2022,16018.44753166666
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",08-2022,23500.76507
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",09-2022,19333.22731
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",10-2022,18711.46237857144
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",11-2022,95474.14641380955
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.светланская,73 а",12-2022,110256.9408176191
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",02-2022,171156.7748333334
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",03-2022,167271.0978333334
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",04-2022,171816.6753583334
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",05-2022,170337.7088083334
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",06-2022,166027.1297916668
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",07-2022,162202.1470300001
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",08-2022,178475.4043341667
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",09-2022,149087.2482705953
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",10-2022,141690.2799839286
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",11-2022,431532.6653407144
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.семеновская, 29",12-2022,416329.9056657144
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",02-2022,97156.3319019047
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",03-2022,96107.05240666661
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",04-2022,95443.78017333327
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",05-2022,95277.72075666662
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",06-2022,100828.1716466667
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",07-2022,108599.8188446038
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",08-2022,94609.06087333328
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",09-2022,91654.9785233333
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",10-2022,93103.50258500002
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",11-2022,39564.43827642859
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам ул.фонтанная, 19",12-2022,38612.91143000002
Электроэнергия,зо 134.1000.01 дгу. оплата за электроэнергию по тарифам,01-2023,62601.80350948409
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",02-2022,341834.3115516666
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",03-2022,317590.7024166667
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",04-2022,317590.7024166667
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",05-2022,372815.0465125003
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",06-2022,134175.8759283335
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",07-2022,153292.0271333334
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",08-2022,153292.0271333334
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",09-2022,337856.6433050002
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",10-2022,159052.9368025
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",11-2022,565884.5380492653
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание океанский пр-т, 34",12-2022,487677.7608483336
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц находка,02-2022,41635.58257535532
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц находка,03-2022,41635.58257535532
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц находка,04-2022,78502.07537814588
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц находка,05-2022,78502.07537814588
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц находка,07-2022,98089.32224929513
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц находка,12-2022,46288.49523606834
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск,02-2022,109305.4694881818
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск,03-2022,103371.3789697222
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск,04-2022,105252.2609001984
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск,05-2022,73996.45100555984
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск,06-2022,73996.45100555984
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск,11-2022,46288.49523606834
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск,12-2022,46288.49523606834
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск (гараж),02-2022,89128.0278728174
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск (гараж),03-2022,78812.94512305326
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск (гараж),04-2022,73645.03592557681
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск (гараж),05-2022,105521.208147649
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск (гараж),11-2022,72568.23396655069
Отопление,134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ркц уссурийск (гараж),12-2022,72568.23396655069
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание с.в-надеждинское, ул.пушкина, 59",02-2022,24042.90638683055
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание с.в-надеждинское, ул.пушкина, 59",03-2022,24042.90638683055
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание с.в-надеждинское, ул.пушкина, 59",04-2022,195020.5734265116
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание с.в-надеждинское, ул.пушкина, 59",05-2022,35334.7421747619
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание с.в-надеждинское, ул.пушкина, 59",06-2022,35334.7421747619
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание с.в-надеждинское, ул.пушкина, 59",12-2022,34321.64458809524
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.калинина, 261",02-2022,33207.94032583106
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.калинина, 261",03-2022,28198.84397916668
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.калинина, 261",04-2022,28198.84397916668
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.калинина, 261",05-2022,32942.24775780304
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.калинина, 261",06-2022,29156.99538313493
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.калинина, 261",12-2022,86043.50107166663
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.мордовцева, 6",03-2022,17005.07565345238
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.мордовцева, 6",04-2022,23296.09991345238
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.мордовцева, 6",05-2022,15400.35976595238
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.мордовцева, 6",06-2022,15400.35976595238
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.мордовцева, 6",07-2022,9437.927526666674
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.мордовцева, 6",10-2022,12388.84447333333
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.мордовцева, 6",12-2022,23936.20788206351
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 111",02-2022,166483.5915449207
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 111",03-2022,139322.6113925794
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 111",04-2022,139322.6113925794
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 111",05-2022,128181.4538220326
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 111",06-2022,125190.043662565
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 111",12-2022,100569.8775471795
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 69",03-2022,28466.78635277779
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 69",05-2022,25267.05071944446
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 69",06-2022,39781.10914130342
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 69",12-2022,84538.2445727381
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71",02-2022,100704.4191485714
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71",03-2022,91468.43780032964
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71",04-2022,91468.43780032964
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71",05-2022,107118.1978623016
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71",06-2022,120628.3440937303
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71",12-2022,385222.2994154761
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71 пристройка",02-2022,94043.19776652013
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71 пристройка",03-2022,102020.0698531075
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71 пристройка",04-2022,102020.0698531075
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71 пристройка",05-2022,106452.6694623016
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71 пристройка",06-2022,119262.1108937302
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 71 пристройка",12-2022,307960.7439704762
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 73",02-2022,114766.7637924207
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 73",03-2022,222768.7006590278
Отопление,"134.1000.02 дгу. оплата за тепловую энергию по тарифам здание ул.светланская, 73",04-2022,222768.7006590278
